                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.1434,                0.99674,                 1.4515,                  1.206,                 1.1962,                 1.4629,                0.88725,                0.84304,                0.92596,                0.69038,                0.86296,                0.56712,                 1.4463,                0.92205,                 0.5525,                 1.4963,             0.00092678,             0.00092678,             0.00092678
                     74,                 1.1372,                0.98723,                 1.4478,                 1.2072,                 1.1699,                 1.4682,                0.86943,                0.85289,                0.92416,                0.68288,                0.88454,                0.60402,                 1.4523,                0.94351,                 0.5628,                  1.494,              0.0009197,              0.0009197,              0.0009197
                     75,                 1.1398,                0.99985,                 1.4473,                 1.2121,                 1.1758,                 1.4664,                 0.8973,                0.85877,                 0.9317,                 0.6792,                0.90094,                0.58727,                 1.4685,                0.96119,                0.54761,                 1.5147,             0.00091263,             0.00091263,             0.00091263
                     76,                 1.1219,                0.98116,                 1.4399,                 1.1867,                 1.1658,                 1.4546,                0.86542,                0.89621,                0.94558,                0.69102,                0.91281,                0.55651,                 1.4879,                0.98164,                0.51839,                 1.5237,             0.00090556,             0.00090556,             0.00090556
                     77,                 1.1183,                0.97076,                 1.4337,                 1.1881,                 1.1454,                 1.4456,                0.81809,                0.83415,                0.90444,                 0.6729,                0.88247,                0.62419,                 1.4727,                 0.9259,                0.64506,                 1.4965,             0.00089848,             0.00089848,             0.00089848
                     78,                 1.1175,                0.96705,                 1.4325,                 1.1745,                   1.15,                 1.4486,                 0.8311,                0.91448,                0.94105,                0.70685,                0.86594,                0.54065,                 1.4384,                0.91478,                 0.5129,                 1.4696,             0.00089141,             0.00089141,             0.00089141
                     79,                 1.1251,                0.96756,                 1.4402,                 1.1842,                 1.1596,                 1.4525,                0.89605,                0.85721,                0.92973,                0.68544,                0.88905,                0.56185,                 1.4517,                 0.9325,                0.53602,                 1.4848,             0.00088434,             0.00088434,             0.00088434
                     80,                 1.1273,                 0.9594,                 1.4332,                 1.2001,                 1.1472,                 1.4536,                0.91598,                  0.841,                0.93529,                0.69688,                 0.8645,                0.56335,                 1.4258,                0.91525,                0.51689,                 1.4611,             0.00087726,             0.00087726,             0.00087726
                     81,                 1.1038,                0.95466,                 1.4223,                 1.1693,                 1.1445,                 1.4376,                 0.8552,                0.85449,                0.93255,                0.69953,                0.87008,                 0.5898,                  1.423,                 0.9219,                0.57052,                 1.4568,             0.00087019,             0.00087019,             0.00087019
                     82,                 1.0986,                0.93435,                  1.408,                 1.1639,                 1.1176,                 1.4232,                0.89224,                0.87142,                 0.9424,                 0.7069,                0.86728,                 0.5376,                 1.4271,                0.92849,                0.49898,                 1.4792,             0.00086312,             0.00086312,             0.00086312
                     83,                 1.0913,                0.93842,                 1.4175,                 1.1525,                 1.1287,                 1.4347,                0.85461,                0.84083,                0.91876,                0.69713,                0.86333,                0.57312,                 1.4381,                0.91248,                0.56799,                 1.4652,             0.00085604,             0.00085604,             0.00085604
                     84,                  1.085,                 0.9318,                 1.4069,                 1.1568,                 1.1246,                 1.4237,                0.82256,                0.87463,                0.92754,                0.69672,                0.85662,                0.57465,                 1.4372,                0.90789,                0.55421,                 1.4724,             0.00084897,             0.00084897,             0.00084897
                     85,                 1.0853,                0.93682,                 1.4106,                 1.1498,                 1.1293,                 1.4258,                  0.905,                0.87176,                0.93941,                0.69879,                0.87916,                0.55136,                 1.4435,                0.92907,                0.52642,                 1.4733,              0.0008419,              0.0008419,              0.0008419
                     86,                 1.0929,                0.92899,                 1.4025,                 1.1571,                  1.117,                 1.4187,                0.90617,                 0.8142,                0.92593,                0.68888,                0.88326,                0.57211,                 1.4509,                0.92905,                0.59228,                 1.4956,             0.00083482,             0.00083482,             0.00083482
                     87,                 1.0811,                0.92504,                 1.4037,                 1.1517,                 1.0935,                 1.4208,                0.88747,                0.84276,                0.93699,                0.70791,                0.86374,                0.54659,                 1.4284,                0.90792,                0.52875,                 1.4517,             0.00082775,             0.00082775,             0.00082775
                     88,                 1.0721,                0.91764,                 1.3931,                 1.1434,                  1.095,                 1.4141,                0.84811,                0.89265,                0.94076,                  0.698,                0.87253,                0.55144,                 1.4434,                0.91351,                0.51959,                 1.4783,             0.00082067,             0.00082067,             0.00082067
                     89,                 1.0853,                0.93019,                  1.408,                  1.153,                 1.1235,                 1.4252,                0.85336,                0.86691,                0.93525,                0.70693,                 0.8637,                0.58698,                 1.4182,                0.90658,                 0.5292,                 1.4385,              0.0008136,              0.0008136,              0.0008136
                     90,                   1.08,                0.91757,                 1.4018,                 1.1534,                 1.0816,                 1.4245,                 0.8646,                0.87715,                0.94194,                 0.7191,                0.84293,                0.55883,                 1.4254,                0.87671,                0.51051,                  1.445,             0.00080653,             0.00080653,             0.00080653
                     91,                 1.0588,                0.89167,                 1.3866,                 1.1234,                  1.073,                 1.4002,                0.89853,                0.86419,                  0.938,                0.71414,                 0.8518,                0.54624,                 1.4073,                0.89186,                0.51004,                  1.436,             0.00079945,             0.00079945,             0.00079945
                     92,                 1.0635,                0.88487,                 1.3921,                 1.1438,                 1.0621,                 1.4154,                 0.8507,                0.88892,                0.94199,                0.71412,                0.84776,                0.53788,                  1.413,                0.87283,                 0.5074,                  1.437,             0.00079238,             0.00079238,             0.00079238
                     93,                 1.0769,                 0.9168,                 1.3988,                 1.1418,                 1.0822,                 1.4137,                0.85955,                0.85705,                0.93204,                0.70755,                0.84465,                0.56942,                 1.4161,                0.86443,                0.54099,                 1.4283,             0.00078531,             0.00078531,             0.00078531
                     94,                 1.0499,                0.89492,                 1.3845,                 1.1221,                 1.0561,                 1.4005,                0.89922,                0.85732,                0.94437,                0.72073,                0.84049,                0.54437,                 1.4049,                  0.884,                0.49544,                 1.4399,             0.00077823,             0.00077823,             0.00077823
                     95,                 1.0587,                0.90007,                 1.3935,                 1.1289,                 1.0784,                 1.4104,                0.86622,                0.88174,                0.93573,                0.70801,                0.85908,                0.56128,                 1.4268,                0.90755,                0.52679,                 1.4571,             0.00077116,             0.00077116,             0.00077116
                     96,                 1.0416,                0.87597,                 1.3735,                 1.1158,                   1.06,                 1.3931,                0.91819,                0.84435,                0.94075,                0.71537,                0.82879,                0.53474,                 1.3959,                0.87125,                0.49799,                 1.4255,             0.00076409,             0.00076409,             0.00076409
                     97,                 1.0494,                0.88234,                 1.3853,                 1.1214,                 1.0449,                 1.4054,                0.88258,                0.87208,                0.94618,                0.72475,                0.81378,                0.55862,                 1.3803,                0.85989,                0.49856,                  1.415,             0.00075701,             0.00075701,             0.00075701
                     98,                 1.0617,                0.89623,                 1.3892,                 1.1223,                 1.0801,                 1.4071,                0.89084,                0.88973,                0.94228,                0.72807,                0.80926,                0.53917,                 1.3771,                0.84371,                0.49947,                 1.3955,             0.00074994,             0.00074994,             0.00074994
                     99,                 1.0447,                0.85181,                 1.3768,                 1.1172,                 1.0153,                  1.394,                0.88885,                0.85314,                 0.9408,                0.73152,                0.82878,                0.52273,                 1.4009,                0.85268,                0.52267,                   1.41,             0.00074287,             0.00074287,             0.00074287
                    100,                 1.0398,                 0.8678,                 1.3695,                 1.1089,                 1.0331,                 1.3776,                0.91457,                0.84211,                0.94563,                0.71919,                0.83007,                0.52294,                 1.4083,                0.87588,                0.49129,                 1.4392,             0.00073579,             0.00073579,             0.00073579
